NR.,Audited Smart Contracts,Analyzed (Solidity only),Unchecked-send bug,tx.origin usage,Re-entrancy,Inline assembly,Block timestamp,Low level calls,Blockhash usage,Gas costly patterns,this. on local calls,Constant functions,Similar variable names,Additional info,SC Compiler version
1,Hacker Gold (HKG),Yes,1,X,X,X,17,X,X,15,X,1,8,X,^0.4.0
2,ArcadeCity (ARC),Yes,1,X,1,X,X,X,X,35,X,10,1,X,^0.4.2
3,Golem Network,Yes,2,X,X,X,2,X,X,6,X,X,1,X,^0.4.4
4,ProjectKudos,Yes,X,X,X,X,2,X,X,3,X,2,7,X,^0.4.4
5,SuperDAO Promissory,Yes,1,X,1,X,X,X,X,9,X,1,15,X,^0.4.8
6,ROSCA ,No,,,,,,,,,,,,,
7,Matchpool GUP,Yes,X,X,X,X,3,X,X,2,X,8,X,X,^0.4.8
8,iEx.ec RLC ,Yes,X,X,X,X,X,X,X,7,X,5,3,X,^0.4.8
9,Cosmos,Yes,1,X,1,X,X,X,X,1,X,X,X,X,^0.4.8
10,Blockchain Capital  (BCAP),Yes,X,X,X,X,X,X,X,2,X,4,X,X,^0.4.1
11,WingsDAO,Yes,X,X,X,X,1,X,X,8,X,7,25,X,X
12,Moeda,Yes,X,X,2,1,X,X,X,12,X,4,1,X,^0.4.15
13,Basic Attention,Yes,2,X,X,X,X,X,X,3,X,3,1,X,^0.4.10
14,Storj,Yes,X,X,2,X,X,X,X,16,X,5,3,X,X
15,Metal,Yes,X,X,X,X,X,X,X,7,X,5,1,X,^0.4.11
16,Decentraland MANA,Yes,X,X,X,X,X,X,X,15,X,3,1,X,^0.4.11
17,Tierion,Yes,X,X,X,X,X,X,X,7,X,3,1,X,^0.4.13
18,Kin,Yes,X,X,6,X,7,X,X,56,X,8,43,X,^0.4.15
19,Fuel,Yes,X,X,X,X,2,X,X,10,X,X,1,X,X
20,Enigma,Yes,X,X,X,X,X,X,X,9,X,3,1,X,^0.4.11
21,Global Messaging,No,,,,,,,,,,,,,
