NR.,Vulnerable Smart Contracts,Vulnerability/Bug,Analyzed (Solidity only),Strict balance equity ,Byte array,Transfer forwards all gas,DoS by external contract,Token API violation,Costly loop,Integer division,Locked money,Malicous libraries,Compiler version not fixed,Private modifer ,Redundant fallback function,Re-entrancy,send instead of transfer,Style guide violation,Time-stamp dependence ,tx.origin usage,Unchecked external call,Unchecked math,Unsafe type inference,Implicit visibility level,Source of detailed results
1,SimpleDao Sample compiler version 0.3.1,"Re-entrancy, call to the unkown",Yes,X,X,X,X,X,X,X,X,X,X,X,X,3,2,X,X,X,3,X,X,10,http://tool.smartdec.net/scan/4feb78d1b84e4cabb11e367ca77f4e19
2,SimpleDao Sample compiler version 0.4.2,"Re-entrancy, call to the unkown",Yes,X,X,X,X,X,X,X,1,X,1,X,X,1,2,X,X,X,3,X,X,10,http://tool.smartdec.net/scan/0a369e1a6cb7484097847c78f729c53c
3,King of the Ether game (KoET),"Unchecked-send bug, Gasless send, Mishandled exception",Yes,X,X,X,X,X,X,X,X,X,X,X,X,2,4,X,2,X,4,X,X,11,http://tool.smartdec.net/scan/d03926a8044e4252b8a4cece15647cf4
4,KotET Sample compiler version 0.3.1,Gasless send,Yes,X,X,X,X,X,X,X,X,X,X,X,X,1,2,X,X,X,2,X,X,3,http://tool.smartdec.net/scan/573c7db7aee748f3a60ca1d10712b16a
5,KotET Sample compiler version 0.4.2,Gasless send,Yes,X,X,X,X,X,X,X,X,X,1,X,X,X,2,X,X,X,2,X,X,3,http://tool.smartdec.net/scan/4c5e4d82bbe348d39e168112e973d805
6,GovernMental (PonziGovernmental),"Unchecked-send bug, Call-stack limit, uses too much gas",Yes,X,X,X,1,X,2,5,X,X,X,X,X,7,7,X,4,X,7,X,X,10,http://tool.smartdec.net/scan/41e134fe28924f33aebdd67d0603a789
7,GovernMental simplified sample 0.3.1,"Immutable bugs, exception disorder, call-stack limit, unpredictable state ",Yes,X,X,X,X,X,X,X,X,X,X,X,X,2,2,X,2,X,2,X,X,3,http://tool.smartdec.net/scan/dd0a68612a9943c8b251d80bd46d3867
8,Rubixi ,"Immutable bugs, wrong constructor name",Yes,X,X,X,1,X,1,1,X,X,X,7,X,5,4,1,X,X,4,X,X,15,http://tool.smartdec.net/scan/dc80ebef38e14c308262c8d58778e254
9,FirePonzi,Type casts (intentional scam),Yes,X,X,X,1,X,1,X,X,X,X,X,X,2,3,X,X,X,3,X,X,3,http://tool.smartdec.net/scan/1fa2d2c85fbe414b94c5cc4676592c0e
10,Parity Multisig,Unintended function exposure,Yes,X,X,X,1,X,1,X,X,X,1,X,X,1,X,X,1,X,5,X,X,40,http://tool.smartdec.net/scan/191814cc87a24e099ae10144bcf3a2b5
11,GoodFellas,Typo (wrong constructor name),Yes,X,X,X,1,X,1,1,X,X,X,X,X,3,4,1,X,X,4,X,X,3,http://tool.smartdec.net/scan/abbe1896ab6143c8a869c35c22316697
12,StackyGame,Typo (wrong constructor name),Yes,X,X,X,X,X,X,1,X,X,X,X,X,2,3,1,X,X,3,X,X,1,http://tool.smartdec.net/scan/bfb691ebaa314123b8329e5faf2edb20
13,DynamicPyramid,Contract that do not refund,Yes,X,X,X,1,X,1,1,X,X,X,7,X,5,4,X,X,X,4,X,X,15,http://tool.smartdec.net/scan/68d30ac20bd641b381d51024c1864b1e
14,GreedPit,Contract that do not refund,Yes,X,X,X,1,X,1,5,X,X,X,15,X,2,5,X,3,X,5,X,X,25,http://tool.smartdec.net/scan/ed9479cc69ef4c8c84cc7520d94fbba2
15,NanoPyramid,Contract that do not refund,Yes,X,X,X,3,X,2,1,X,X,X,7,X,2,3,X,X,X,1,X,X,6,http://tool.smartdec.net/scan/50e0b92dc0f64aca8000790ca24e36e0
16,Tomeka,Contract that do not refund,Yes,X,X,X,1,X,1,1,X,X,X,7,X,5,4,X,X,X,4,X,X,15,http://tool.smartdec.net/scan/d2d228fae9f545058676c47ca7f69c95
17,ProtectTheCastle,"Call-stack limit, Withdraw option",Yes,X,X,X,1,X,1,10,X,X,X,X,X,9,13,X,4,X,13,X,X,7,http://tool.smartdec.net/scan/698e951d0593498ba24680eba3b22b1a
18,RockPaperScissors (RPS),Public moves,Yes,X,X,X,X,X,X,X,X,X,X,3,X,7,7,1,1,X,7,X,2,4,http://tool.smartdec.net/scan/23c1327b21154835acf9736e7eee4eef
19,SmartBillions,Blockhash bug,Yes,X,X,X,1,X,3,7,X,1,1,X,X,1,X,X,X,X,X,X,X,15,http://tool.smartdec.net/scan/2bb2ab4570454f288bc4623eec0f8063
20,EtherPot,Unchecked-send bug,Yes,X,X,X,1,X,1,X,X,X,X,X,X,1,2,X,X,X,2,X,5,14,http://tool.smartdec.net/scan/57e5c492f3c14c22b99b25d60c8698ee
21,TheRun,Timestamp dependence,Yes,X,X,X,1,X,1,1,X,X,X,11,X,6,6,13,1,X,6,X,X,13,http://tool.smartdec.net/scan/f1da4345f310428e9b9e2fb00fb4f915
22,OddsAndEvents Compiler 0.3.1 Sample,Keeping secrets,Yes,X,X,X,X,X,X,X,X,X,X,X,X,X,3,X,X,X,3,X,X,5,http://tool.smartdec.net/scan/578fd5af0c2e4f5991382494a98c8dda
23,OddsAndEvents Compiler 0.4.2 Sample,Keeping secrets,Yes,X,X,X,X,X,X,X,X,X,1,X,X,X,3,X,X,X,3,X,X,5,http://tool.smartdec.net/scan/08a9727036194268bd84bcfa76711797
